number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_hidden,params_lr,params_n_steps,params_num_envs,params_vf_coef,user_attrs_mean_cost,user_attrs_mean_reward,system_attrs_NSGAIISampler:generation,state
0,,,2025-05-23 15:13:00.010044,2025-05-23 15:13:01.929926,0 days 00:00:01.919882,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,4.0,0.737265320016441,,,0,FAIL
1,,,2025-05-23 15:14:40.345860,2025-05-23 15:14:42.223816,0 days 00:00:01.877956,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,4.0,0.737265320016441,,,0,FAIL
2,,,2025-05-23 15:15:42.083280,2025-05-23 15:15:43.942851,0 days 00:00:01.859571,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,4.0,0.737265320016441,,,0,FAIL
3,,,2025-05-23 15:28:57.438329,2025-05-23 15:28:59.318071,0 days 00:00:01.879742,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,4.0,0.737265320016441,,,0,FAIL
4,,,2025-05-23 15:29:28.690298,2025-05-23 15:29:30.561422,0 days 00:00:01.871124,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,4.0,0.737265320016441,,,0,FAIL
5,,,2025-05-23 15:29:43.327376,2025-05-23 15:29:45.203834,0 days 00:00:01.876458,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,4.0,0.737265320016441,,,0,FAIL
6,,,2025-05-23 15:30:43.796989,2025-05-23 15:30:45.708484,0 days 00:00:01.911495,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,4.0,0.737265320016441,,,0,FAIL
7,,,2025-05-23 15:34:38.066154,2025-05-23 15:34:38.107364,0 days 00:00:00.041210,64,,,,0.957,,,1536,,,,,0,FAIL
8,,,2025-05-23 15:35:04.354688,2025-05-23 15:35:07.670369,0 days 00:00:03.315681,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,12.0,0.737265320016441,,,0,FAIL
9,,,2025-05-23 15:52:59.895782,2025-05-23 15:53:03.224013,0 days 00:00:03.328231,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,12.0,0.737265320016441,,,0,FAIL
10,,,2025-05-23 16:02:07.428079,2025-05-23 16:09:21.561813,0 days 00:07:14.133734,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,12.0,0.737265320016441,,,0,FAIL
11,214.6037778177803,27.759724448661096,2025-05-23 16:09:49.742970,2025-05-23 16:17:55.902124,0 days 00:08:06.159154,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,12.0,0.737265320016441,27.759724448661096,214.6037778177803,0,COMPLETE
12,231.53432544409574,30.055926017752807,2025-05-23 16:17:55.912538,2025-05-23 16:22:53.783527,0 days 00:04:57.870989,256,0.12789877213040837,7.52374288453485e-05,0.9489482315777904,0.971,128.0,2.69265525148647e-05,1024,28.0,0.4297256589643226,30.055926017752807,231.53432544409574,0,COMPLETE
13,322.0380595594176,28.04772910672951,2025-05-23 16:22:53.794774,2025-05-23 16:28:13.138287,0 days 00:05:19.343513,128,0.26167946962329225,8.200518402245828e-05,0.9772505626459648,0.953,64.0,0.00025212679047779214,2560,24.0,0.1879049026057455,28.04772910672951,322.0380595594176,0,COMPLETE
14,235.9312315681541,28.765192355902617,2025-05-23 16:28:13.147733,2025-05-23 16:33:34.596793,0 days 00:05:21.449060,64,0.1369708911051054,0.008105016126411584,0.9437368223474624,0.965,64.0,5.864129169696523e-05,512,48.0,0.7976195410250031,28.765192355902617,235.9312315681541,0,COMPLETE
15,217.1452683249896,29.3354996784232,2025-05-23 16:33:34.608283,2025-05-23 16:37:49.396472,0 days 00:04:14.788189,256,0.17135066533871784,6.963114377829287e-05,0.9662990007321544,0.969,128.0,2.516607127550294e-05,512,48.0,0.5884264748424236,29.3354996784232,217.1452683249896,0,COMPLETE
16,331.17016169499675,28.667179520997006,2025-05-23 16:37:49.406504,2025-05-23 16:46:06.544631,0 days 00:08:17.138127,256,0.11480893034681808,0.0001189589673755355,0.9617016277348757,0.985,64.0,0.00011935262708510539,3584,4.0,0.20428215357261675,28.667179520997006,331.17016169499675,0,COMPLETE
17,232.76115292478602,28.316358268783347,2025-05-23 16:46:06.556210,2025-05-23 16:52:03.568005,0 days 00:05:57.011795,128,0.242648957444599,0.0019158219548093154,0.9095675396750642,0.994,64.0,4.9833191601257255e-05,1536,24.0,0.6051494778125466,28.316358268783347,232.76115292478602,0,COMPLETE
18,349.77890249984426,28.44940406408718,2025-05-23 16:52:03.577486,2025-05-23 16:59:22.352069,0 days 00:07:18.774583,256,0.14985844582977498,0.0001702741688676439,0.9726053179140874,0.965,256.0,5.639239991667555e-05,512,8.0,0.7799960246887438,28.44940406408718,349.77890249984426,0,COMPLETE
19,222.60766796282905,31.755919286508465,2025-05-23 16:59:22.361590,2025-05-23 17:05:38.558437,0 days 00:06:16.196847,256,0.20786844838313012,0.0026443593078398627,0.9714047198791982,0.99,64.0,1.8861950443028867e-05,4096,24.0,0.9064821699311439,31.755919286508465,222.60766796282905,0,COMPLETE
20,278.40641742286226,29.691868683292757,2025-05-23 17:05:38.568096,2025-05-23 17:11:28.521303,0 days 00:05:49.953207,64,0.1675230342807256,0.0067410742656406975,0.9095892293866946,0.97,128.0,2.1285319216384283e-05,3584,48.0,0.3908826388186797,29.691868683292757,278.40641742286226,0,COMPLETE
21,234.06811124538203,30.855095759796605,2025-05-23 17:11:28.530705,2025-05-23 17:18:12.280017,0 days 00:06:43.749312,128,0.2005358046457723,1.4270403521460843e-05,0.9487651467183917,0.964,64.0,1.133669581784053e-05,4096,24.0,0.35078181781295026,30.855095759796605,234.06811124538203,0,COMPLETE
22,267.5961033504491,29.567547707679203,2025-05-23 17:18:12.289358,2025-05-23 17:25:10.090020,0 days 00:06:57.800662,256,0.2264611661187159,0.0007954064937683932,0.9294226506175403,0.961,128.0,0.00011903203173999194,4096,12.0,0.5821972156672827,29.567547707679203,267.5961033504491,0,COMPLETE
23,237.5524277281279,28.535586709665303,2025-05-23 17:25:10.099751,2025-05-23 17:32:29.709184,0 days 00:07:19.609433,128,0.13487328580099828,0.0011825328508422654,0.951613823232756,0.975,64.0,2.1605370770279056e-05,512,8.0,0.44806181167048365,28.535586709665303,237.5524277281279,0,COMPLETE
24,225.59059095302752,30.803240229761286,2025-05-23 17:32:29.721624,2025-05-23 17:39:14.414918,0 days 00:06:44.693294,64,0.14837045818009034,1.9024283247489577e-05,0.9423720462684805,0.99,64.0,6.608439515934748e-05,4096,20.0,0.907494182157994,30.803240229761286,225.59059095302752,0,COMPLETE
25,301.5446838790866,27.76247179702863,2025-05-23 17:39:14.427117,2025-05-23 17:48:01.454307,0 days 00:08:47.027190,64,0.2797108377054158,0.0006596099207886098,0.9129302971275691,0.982,128.0,1.3313275850595132e-05,3072,8.0,0.10827734645496669,27.76247179702863,301.5446838790866,0,COMPLETE
26,202.953590045998,29.893955193445287,2025-05-23 17:48:01.463310,2025-05-23 17:54:31.698964,0 days 00:06:30.235654,64,0.24929828102360482,0.0008889937283707153,0.9260319758527414,0.985,64.0,2.2410196769113817e-05,2560,20.0,0.8643010694447602,29.893955193445287,202.953590045998,0,COMPLETE
27,439.96676831809856,14.679214932083122,2025-05-23 17:54:31.708643,2025-05-23 18:03:01.678036,0 days 00:08:29.969393,128,0.2005274186210384,0.0005379125214937586,0.9635849042833319,0.994,128.0,8.555950811591147e-05,1536,4.0,0.5432659244369775,14.679214932083122,439.96676831809856,0,COMPLETE
28,199.4801764970037,28.96417795718034,2025-05-23 18:03:01.690207,2025-05-23 18:08:20.614519,0 days 00:05:18.924312,256,0.2856637125175451,0.00019255395572015605,0.9012365293223095,0.995,64.0,3.5218372593046816e-05,3072,20.0,0.9699893371393026,28.96417795718034,199.4801764970037,0,COMPLETE
29,252.68284680092296,29.984514836771517,2025-05-23 18:08:20.623287,2025-05-23 18:14:01.797589,0 days 00:05:41.174302,256,0.11943529875415371,0.0006998769331752384,0.9456048936071492,0.996,256.0,0.00010668918721738445,3584,36.0,0.9910484650938369,29.984514836771517,252.68284680092296,0,COMPLETE
30,232.5677789378522,30.034716237511663,2025-05-23 18:14:01.808824,2025-05-23 18:20:26.222305,0 days 00:06:24.413481,64,0.28264811051129424,0.00034200085877350014,0.9693657854864083,0.99,64.0,0.0001572663162015697,3072,40.0,0.5513646652184797,30.034716237511663,232.5677789378522,0,COMPLETE
31,226.14125949472623,30.5517823101536,2025-05-23 18:20:26.231677,2025-05-23 18:26:48.820294,0 days 00:06:22.588617,128,0.2085289269415153,7.238086291181395e-05,0.9372478414505968,0.978,256.0,1.1300329228083584e-05,4096,20.0,0.6317499345121097,30.5517823101536,226.14125949472623,0,COMPLETE
32,197.23964002903222,29.331158675571704,2025-05-23 18:26:48.829549,2025-05-23 18:33:16.851940,0 days 00:06:28.022391,128,0.2062709263136296,0.0004187023176257683,0.9041345376934886,0.981,128.0,1.3368065184789583e-05,1024,16.0,0.6736869113483859,29.331158675571704,197.23964002903222,0,COMPLETE
33,365.82872567953626,27.87589689213912,2025-05-23 18:33:16.861548,2025-05-23 18:39:41.878079,0 days 00:06:25.016531,128,0.2391948412187396,0.00016860049029950272,0.9668784096409765,0.951,256.0,0.00026420950301415225,3584,36.0,0.2559648880637612,27.87589689213912,365.82872567953626,0,COMPLETE
34,334.36483355370495,23.311204591948794,2025-05-23 18:39:41.887348,2025-05-23 18:48:42.823381,0 days 00:09:00.936033,128,0.1495461979002315,0.00011692786931726741,0.9335680049942232,0.977,128.0,8.009136883462498e-05,3072,4.0,0.7820614994179322,23.311204591948794,334.36483355370495,0,COMPLETE
35,255.29691019870205,30.57504277678826,2025-05-23 18:48:42.833105,2025-05-23 18:54:59.940622,0 days 00:06:17.107517,64,0.18677032984759462,0.00015686071966628887,0.9138561495928013,0.974,64.0,5.0046673502396406e-05,3584,32.0,0.6542650882469948,30.57504277678826,255.29691019870205,0,COMPLETE
36,350.0453622695104,31.563767690360727,2025-05-23 18:54:59.950272,2025-05-23 19:02:03.776844,0 days 00:07:03.826572,64,0.21715511625469264,0.006617450849063192,0.9021209048433297,0.953,128.0,8.890602028414603e-05,2560,28.0,0.6179267600882911,31.563767690360727,350.0453622695104,0,COMPLETE
37,197.18801773985356,28.5267735185147,2025-05-23 19:02:03.786051,2025-05-23 19:11:37.332667,0 days 00:09:33.546616,128,0.10364436513030995,1.9201222592871423e-05,0.9080622401101941,0.959,256.0,1.2660622269526413e-05,4096,4.0,0.7147060960747211,28.5267735185147,197.18801773985356,0,COMPLETE
38,273.80676700189304,29.755522405540496,2025-05-23 19:11:37.344467,2025-05-23 19:18:05.519190,0 days 00:06:28.174723,256,0.2606961860769697,7.016228391811991e-05,0.9588056835043108,0.981,256.0,0.00019775731712985166,3584,20.0,0.2596955894017505,29.755522405540496,273.80676700189304,0,COMPLETE
39,216.99840855694342,29.33846890294967,2025-05-23 19:18:05.528452,2025-05-23 19:22:40.474034,0 days 00:04:34.945582,256,0.25090857481693646,2.038785830097134e-05,0.9600696854233198,0.992,128.0,4.3020573538335665e-05,1536,44.0,0.91229761601161,29.33846890294967,216.99840855694342,0,COMPLETE
40,289.99710744000225,29.23992537104855,2025-05-23 19:22:40.483318,2025-05-23 19:27:59.734122,0 days 00:05:19.250804,128,0.21468757762465723,0.0007861612553123294,0.9760485717550045,0.965,256.0,0.00025313763881721924,2048,40.0,0.5036009697804879,29.23992537104855,289.99710744000225,0,COMPLETE
41,458.12299811373686,14.912980095644912,2025-05-23 19:27:59.746623,2025-05-23 19:36:20.935546,0 days 00:08:21.188923,64,0.27754083655165995,0.00011291328372259997,0.9353224401098702,0.952,128.0,6.482175606161996e-05,3584,8.0,0.2053603147848453,14.912980095644912,458.12299811373686,0,COMPLETE
42,200.23649149987142,26.726039723965005,2025-05-23 19:36:20.946495,2025-05-23 19:40:57.383774,0 days 00:04:36.437279,256,0.2973279157002351,0.00013268211547585727,0.9067870171268154,0.985,256.0,1.3187486040753766e-05,512,40.0,0.4335779323602018,26.726039723965005,200.23649149987142,0,COMPLETE
43,325.5884280281534,30.552881540263787,2025-05-23 19:40:57.396136,2025-05-23 19:46:16.255216,0 days 00:05:18.859080,128,0.1985250208581718,1.0815856940648098e-05,0.9088957985844921,0.971,128.0,0.0002181701481445364,2048,32.0,0.5217945777947136,30.552881540263787,325.5884280281534,0,COMPLETE
44,277.7768475514753,29.381954515930914,2025-05-23 19:46:16.264440,2025-05-23 19:52:33.172713,0 days 00:06:16.908273,128,0.29264450788812224,1.0875855381980918e-05,0.9178876670815562,0.964,128.0,0.00019187846436598372,3072,48.0,0.9728909440368751,29.381954515930914,277.7768475514753,0,COMPLETE
45,427.74184698392526,17.983196463039437,2025-05-23 19:52:33.182198,2025-05-23 19:57:36.572782,0 days 00:05:03.390584,128,0.2255116160168127,0.0005661648927748015,0.9363632851814219,0.981,256.0,0.00010658723014160114,512,44.0,0.9110422094418901,17.983196463039437,427.74184698392526,0,COMPLETE
46,261.36869777856356,30.82037054204356,2025-05-23 19:57:36.582223,2025-05-23 20:03:17.575321,0 days 00:05:40.993098,64,0.11554692739299698,0.00837885014166413,0.9466924889480698,0.973,64.0,3.326167275384849e-05,2048,40.0,0.9875896700316426,30.82037054204356,261.36869777856356,0,COMPLETE
47,236.23986744456937,30.81798804034126,2025-05-23 20:03:17.584888,2025-05-23 20:09:12.572429,0 days 00:05:54.987541,128,0.18364860725812376,0.006283266061384217,0.9490732156748631,0.997,256.0,0.00011802546245983701,3072,40.0,0.8794575005503675,30.81798804034126,236.23986744456937,0,COMPLETE
48,262.83342564533336,30.414636914367,2025-05-23 20:09:12.584039,2025-05-23 20:14:46.157597,0 days 00:05:33.573558,128,0.19373863195899405,0.00017557331414514498,0.967066296376891,0.998,128.0,0.00017535241858857562,4096,48.0,0.34606636473763563,30.414636914367,262.83342564533336,0,COMPLETE
49,252.53208803669173,30.624410533551902,2025-05-23 20:14:46.167229,2025-05-23 20:20:18.612407,0 days 00:05:32.445178,256,0.125831883030299,0.007280363803561537,0.9360435308248075,0.992,128.0,2.3193331662170885e-05,4096,20.0,0.645557171005792,30.624410533551902,252.53208803669173,0,COMPLETE
50,452.55843042947106,14.621003643681249,2025-05-23 20:20:18.621700,2025-05-23 20:25:14.134085,0 days 00:04:55.512385,256,0.21218759430707723,0.004265410247347661,0.9441525471019588,0.976,256.0,0.0001814577021569744,512,32.0,0.46313457959115734,14.621003643681249,452.55843042947106,0,COMPLETE
